Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701728109837	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9876	792.144	923.6800000000001	1.0	3.8945	737.856	1081.6000000000001	1.0	0.1723	0.0613	0.9831	23.5437	-0.1137	-30.8932	0.0	6	0.0	0.0		3886	0	0
1701728109846	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9842	791.136	921.5999999999999	1.0	3.8693	739.8720000000001	1082.8799999999999	1.0	0.1763	0.0695	0.9819	20.0645	-0.218	-31.0529	0.0	6	0.0	0.0		3886	0	0
1701728109854	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9858	794.016	919.68	1.0	3.8992	741.888	1082.08	1.0	0.1694	0.0734	0.9828	21.3639	-0.164	-31.0061	0.0	6	0.0	0.0		3886	0	0
1701728109862	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9715	796.1759999999999	920.1599999999999	1.0	3.8052	744.9119999999999	1080.8	1.0	0.163	0.071	0.9841	20.3126	-0.1964	-31.025	0.0	6	0.0	0.0		3886	0	0
1701728109871	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9579	798.048	918.4	1.0	4.0122	746.496	1079.2	1.0	0.1576	0.0764	0.9845	22.9404	-0.1051	-30.9343	0.0	6	0.0	0.0		3886	0	0
1701728109879	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9799	799.344	917.1200000000001	1.0	3.9385	749.088	1079.2	1.0	0.1526	0.0799	0.985	19.8013	-0.2057	-31.0311	0.0	6	0.0	0.0		3886	0	0
1701728109887	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.894	792.576	921.7599999999999	1.0	3.7644	736.2719999999999	1083.3600000000001	1.0	0.1664	0.0719	0.9834	19.6001	-0.2652	-31.0377	0.0	6	0.0	0.0		3886	0	0
1701728109896	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.8756	770.544	927.36	1.0	3.9038	705.456	1089.28	1.0	0.2308	0.0667	0.9707	25.5545	-0.1368	-30.8731	0.0	6	0.0	0.0		3886	0	0
1701728109904	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9242	739.008	935.68	1.0	3.9926	668.016	1097.6000000000001	1.0	0.312	0.0564	0.9484	28.7337	-0.0889	-30.899	0.0	6	0.0	0.0		3886	0	0
1701728109912	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.8935	713.52	939.5200000000001	1.0	4.1886	640.8	1103.84	1.0	0.3664	0.0642	0.9282	28.6794	-0.1567	-31.0261	0.0	6	0.0	0.0		3886	0	0
1701728109920	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.8984	694.0799999999999	944.96	1.0	3.9858	612.288	1109.44	1.0	0.4034	0.0563	0.9133	25.69	-0.2972	-31.1845	0.0	6	0.0	0.0		3886	0	0
1701728109928	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9959	681.984	948.32	1.0	4.0605	603.648	1107.68	1.0	0.4292	0.0443	0.9021	16.1305	-0.6114	-31.4239	0.0	6	0.0	0.0		3886	0	0
1701728109937	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.7452	683.136	942.0799999999999	1.0	4.0203	610.128	1108.0	1.0	0.4169	0.0606	0.9069	16.1322	-0.6135	-31.4285	0.0	6	0.0	0.0		3886	0	0
1701728109945	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9947	683.28	948.48	1.0	3.9825	614.16	1106.4	1.0	0.4106	0.0331	0.9112	-23.9596	-1.9801	-32.1918	0.0	6	0.0	0.0		3886	0	0
1701728109953	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.8939	687.744	945.92	1.0	4.013	616.896	1106.08	1.0	0.4039	0.032	0.9142	-25.4938	-2.0266	-32.2067	0.0	6	0.0	0.0		3886	0	0
1701728109961	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.944	688.896	946.08	1.0	3.9875	619.056	1105.4399999999998	1.0	0.4037	0.032	0.9143	-23.9804	-1.9645	-32.1666	0.0	6	0.0	0.0		3886	0	0
1701728109970	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9207	691.344	944.6400000000001	1.0	4.069	624.672	1105.4399999999998	1.0	0.394	0.0346	0.9184	-18.3817	-1.7781	-32.0389	0.0	6	0.0	0.0		3886	0	0
1701728109978	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.8288	694.5120000000001	942.7199999999999	1.0	4.0152	629.136	1102.72	1.0	0.3872	0.0488	0.9207	-4.1011	-1.295	-31.7529	0.0	6	0.0	0.0		3886	0	0
1701728109987	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9772	697.1039999999999	941.44	1.0	4.133	634.32	1104.48	1.0	0.3875	0.0514	0.9204	1.0492	-1.1257	-31.6276	0.0	6	0.0	0.0		3886	0	0
1701728109995	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9891	700.992	942.0799999999999	1.0	4.2198	643.6800000000001	1103.6799999999998	1.0	0.3723	0.0468	0.9269	2.7488	-1.0544	-31.5573	0.0	6	0.0	0.0		3886	0	0
1701728110004	t	neighborhood_test_cue_skiresort_left	0.0	0	0	4.0412	703.008	941.1199999999999	1.0	4.1973	643.968	1098.24	1.0	0.3757	0.0526	0.9252	3.7618	-0.9925	-31.5319	0.0	6	0.0	0.0		3886	0	0
1701728110012	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.8636	704.736	940.8	1.0	4.019	644.832	1094.5600000000002	1.0	0.3673	0.0538	0.9285	5.2819	-0.9247	-31.5044	0.0	6	0.0	0.0		3886	0	0
1701728110020	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9357	707.616	941.1199999999999	1.0	4.0138	648.72	1092.96	1.0	0.3519	0.0556	0.9344	5.5156	-0.9235	-31.4941	0.0	6	0.0	0.0		3886	0	0
1701728110029	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9748	711.504	938.24	1.0	3.9684	651.6	1095.04	1.0	0.3443	0.0596	0.937	5.4527	-0.9311	-31.4845	0.0	6	0.0	0.0		3886	0	0
1701728110039	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9707	714.096	940.32	1.0	4.074	657.36	1094.4	1.0	0.3374	0.0562	0.9397	4.892	-0.9577	-31.4775	0.0	6	0.0	0.0		3886	0	0
1701728110045	t	neighborhood_test_cue_skiresort_left	0.0	0	0	4.0235	717.552	939.84	1.0	3.9826	657.072	1091.52	1.0	0.3365	0.0608	0.9397	3.0571	-1.0151	-31.5091	0.0	6	0.0	0.0		3886	0	0
1701728110054	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9837	720.7199999999999	939.04	1.0	4.0524	663.552	1090.4	1.0	0.3289	0.066	0.942	-3.0952	-1.2327	-31.6139	0.0	6	0.0	0.0		3886	0	0
1701728110062	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9789	726.192	937.12	1.0	4.0891	666.864	1092.8000000000002	1.0	0.3228	0.0613	0.9445	-3.7272	-1.2443	-31.6027	0.0	6	0.0	0.0		3886	0	0
1701728110071	t	neighborhood_test_cue_skiresort_left	0.0	0	0	3.9364	729.2159999999999	936.48	1.0	3.8052	674.0640000000001	1089.6000000000001	1.0	0.3056	0.0576	0.9504	-3.5712	-1.1997	-31.5899	0.0	6	0.0	0.0		3886	0	0
1701728110079	t	neighborhood_test_cue_skiresort_left	0.0	0	0	4.0236	733.536	936.32	1.0	3.7933	679.968	1088.0	1.0	0.295	0.0583	0.9537	-3.6082	-1.1924	-31.5725	0.0	6	0.0	0.0		3886	200	MYKEYWORD 200
